view_name	type	directory	schema
a_attribute	parent	input	[style] int, [attribute1] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute2] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute3] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute4] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute5] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute6] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute7] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute8] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute9] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_end_date_stock	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_end_date_stock_temp	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_jit_category	parent	input	[id] int, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [is_jit] BIT, [store] int, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_keyframe	parent	input	[id] bigint, [day] date, [qty] int, [sku] int, [store] int
a_keyframe_temp	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_net_sales	parent	input	[id] bigint, [cogs] float, [day] date, [net_revenue] float, [online] BIT, [sku] int, [store] int
a_net_sales_upload_temp	parent	input	[id] int, [cogs] float, [day] date, [net_revenue] float, [online] BIT, [sku] int, [store] int
a_outwards	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_outwards_temp	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_pricebucket	parent	input	[id] int, [cat] varchar COLLATE Latin1_General_100_BIN2_UTF8, [max_mrp] int, [min_mrp] int, [name] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_returns	parent	input	[id] int, [day] date, [qty] int, [sku] int, [disc_value] float, [revenue] float, [store] int, [online] BIT
a_returns_temp	parent	input	[id] int, [day] date, [disc_value] float, [online] BIT, [qty] int, [revenue] float, [sku] int, [store] int
a_sales	parent	input	[id] bigint, [day] date, [disc_value] float, [qty] int, [revenue] float, [sku] int, [store] int, [online] BIT
a_sales_upload_temp	parent	input	[id] int, [day] date, [disc_value] float, [online] BIT, [qty] int, [revenue] float, [sku] int, [store] int
a_sku_attribs	parent	input	[id] int, [mrp] float, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style] int
a_sku_id	parent	input	[ean] varchar COLLATE Latin1_General_100_BIN2_UTF8, [id] bigint
a_sku_id_temp	parent	input	[id] bigint, [ean] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_sku_parent_map	parent	input	[sku] int, [parent_sku] int
a_snapshot	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_store	parent	input	[id] int, [area] int, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [etl_new] BIT, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [is_online] BIT
a_store_class	parent	input	[id] int, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] int
